,class1,class2,corr_score
184,Salt,Bathroom,239
185,Kitchen,Oven,300
186,Kitchen,Bathroom-sink,300
187,Kitchen,Laundry-basket,300
188,Kitchen,Chair,300
189,Kitchen,Countertop-wood,300
190,Kitchen,Robot,300
191,Kitchen,Pepper,300
192,Kitchen,Toilet,300
193,Kitchen,Salt,300
194,Kitchen,Clothes-folded,300
195,Kitchen,Closet,300
196,Kitchen,Computer,300
197,Kitchen,Single-bed,300
198,Kitchen,Shelf,300
199,Clothes-folded,Oven,0
200,Clothes-folded,Bathroom-sink,0
201,Clothes-folded,Corridor,86
202,Clothes-folded,Laundry-basket,0
203,Clothes-folded,Chair,0
204,Clothes-folded,Countertop-wood,0
205,Clothes-folded,Robot,1
206,Clothes-folded,Pepper,0
207,Clothes-folded,Toilet,0
208,Clothes-folded,Salt,0
209,Clothes-folded,Kitchen,300
210,Clothes-folded,Clothes-folded,0
211,Clothes-folded,Office,241
212,Clothes-folded,Closet,89
213,Clothes-folded,Computer,0
214,Clothes-folded,Single-bed,94
215,Clothes-folded,Shelf,0
216,Clothes-folded,Bedroom,205
217,Clothes-folded,Bathroom,239
218,Office,Oven,241
219,Office,Bathroom-sink,241
220,Office,Laundry-basket,241
221,Office,Chair,241
222,Office,Countertop-wood,241
223,Office,Robot,241
224,Office,Pepper,241
225,Office,Toilet,241
226,Office,Salt,241
227,Office,Clothes-folded,241
228,Office,Closet,241
229,Office,Computer,241
230,Office,Single-bed,241
231,Office,Shelf,241
232,Closet,Oven,0
233,Closet,Bathroom-sink,0
234,Closet,Corridor,86
235,Closet,Laundry-basket,0
236,Closet,Chair,0
237,Closet,Countertop-wood,0
238,Closet,Robot,1
239,Closet,Pepper,0
240,Closet,Toilet,0
241,Closet,Salt,0
242,Closet,Kitchen,300
243,Closet,Clothes-folded,89
244,Closet,Office,241
245,Closet,Closet,0
246,Closet,Computer,0
247,Closet,Single-bed,90
248,Closet,Shelf,0
249,Closet,Bedroom,205
250,Closet,Bathroom,239
251,Computer,Oven,0
252,Computer,Bathroom-sink,0
253,Computer,Corridor,86
254,Computer,Laundry-basket,0
255,Computer,Chair,108
256,Computer,Countertop-wood,0
257,Computer,Robot,5
258,Computer,Pepper,0
259,Computer,Toilet,0
